,w_true,w_mode,w_low_H,w_hi_H,w_mean,w_low_E,w_hi_E,beta_par_true,beta_par_mode,beta_par_low_H,beta_par_hi_H,beta_par_mean,beta_par_low_E,beta_par_hi_E,k_true,k_mode,k_low_H,k_hi_H,k_mean,k_low_E,k_hi_E,Gel_w,Gel_beta,Gel_k
1,0.687710084,0.688022356,0.50873069,0.860940579,0.685666471,0.495065974,0.848568055,0.347811736,0.346113091,0.303783206,0.398110187,0.34963584,0.302241633,0.397808658,2.055137162,1.833555802,1.399875052,2.414419327,1.899577618,1.439741883,2.46159855,1.004033255,1.003393595,1.003274986
2,0.943758885,0.447361126,0.443924062,0.576322061,0.498647097,0.443924062,0.576322061,0.290621698,0.348920658,0.338323726,0.382931375,0.35560454,0.338323726,0.382931375,3.30093458,3.812371937,3.628106186,4.621874251,3.911681448,3.628106186,4.621874251,Inf,Inf,Inf
3,0.537755443,0.427428776,0.42693584,0.651103602,0.539059261,0.42693584,0.658431941,0.419661096,0.308177901,0.308466755,0.47399231,0.403550791,0.308466755,0.483073279,5.185128377,2.991453641,2.986882871,7.536134525,5.417810272,2.986882871,7.938969249,1.776827636,2.59157271,2.233805964
4,0.925716442,0.47653995,0.467438029,0.640358467,0.508956345,0.467438029,0.640358467,0.321775637,0.373668305,0.298370166,0.386286026,0.355621583,0.298370166,0.386286026,5.533198293,4.355281524,3.15381753,4.660853915,3.927065598,3.15381753,4.660853915,Inf,Inf,Inf
5,0.526289862,0.504030509,0.332348646,0.603881327,0.474463468,0.326734056,0.600920767,0.29015813,0.28456048,0.251020174,0.310264544,0.280721409,0.250247758,0.310049654,2.945204033,2.939622562,2.223638124,3.709772725,2.954257708,2.25655316,3.77797923,1.004871197,1.003887214,1.012297567
6,0.448608823,0.452569005,0.033580972,0.589294492,0.330203705,0.021779977,0.589294492,0.254015364,0.215009613,0.202943768,0.389772211,0.279009806,0.20079731,0.389772211,2.186664706,2.286526432,2.009905924,4.769523783,3.195798863,1.921898744,4.769523783,2.502666371,7.701974229,8.092342159
7,0.849401433,0.478550957,0.422902751,0.525178195,0.481823877,0.422902751,0.525178195,0.317388119,0.371308742,0.307804161,0.373642964,0.345073928,0.307804161,0.373642964,5.140748206,3.30742131,3.163168387,4.509828208,3.534359452,3.163168387,4.509828208,Inf,Inf,Inf
8,0.904781593,0.47734708,0.417609754,0.909992561,0.572862465,0.417609754,0.912860776,0.408877043,0.333911123,0.301239673,0.416879874,0.352962674,0.301239673,0.423335331,5.299073498,4.662207136,3.371706088,5.940752044,4.3656517,3.371706088,6.317851372,67.84504237,10.48695404,3.488203847
9,0.427822704,0.308375717,0.050705461,0.555447439,0.298129149,0.049798865,0.554887368,0.495433868,0.495720005,0.454810481,0.536002763,0.4959905,0.457998844,0.539555975,4.641966804,3.647651214,2.497742959,5.519908104,3.919245471,2.590852885,5.63907067,1.007590673,1.007280287,1.00328962
10,0.681539317,0.675863945,0.484285405,0.788406293,0.647122326,0.453908418,0.772845696,0.443710182,0.427048102,0.347541635,0.490165265,0.421125433,0.34141047,0.487005403,2.345881897,2.139464684,1.702928172,2.83169302,2.202879606,1.6764209,2.810682891,1.00962133,1.008332456,1.007337696
11,0.825969294,0.836274487,0.790426031,0.857270131,0.826124417,0.790602006,0.857637729,0.398259632,0.400749035,0.382548898,0.419325797,0.401941849,0.383827164,0.420931994,5.25068678,4.656694169,3.644253579,6.723264116,5.071982081,3.698933229,6.818590175,1.001226356,1.005521292,1.000540667
12,0.898431228,0.878332241,0.850253394,0.908872861,0.879620878,0.848060912,0.907732602,0.356858245,0.363119021,0.344019062,0.378724695,0.362445736,0.344602541,0.379690924,2.912949831,2.543654372,1.909930759,3.22994649,2.58788367,1.957097199,3.314128064,1.000801179,1.004189926,1.002316855
13,0.408115542,0.391970321,0.188617953,0.515002915,0.369326617,0.189204218,0.515619105,0.41482152,0.418504547,0.360749888,0.462253108,0.412045843,0.360749888,0.462253108,1.734415218,1.905539754,1.403511794,2.522442349,1.977902482,1.438942705,2.57229049,1.003902901,1.005998882,1.007925655
14,0.146359782,0.199311846,0.000938132,0.378465415,0.193065942,0.018589413,0.417008918,0.410832896,0.414938597,0.379020372,0.47623647,0.424949409,0.382791808,0.482645207,1.967949585,2.105116549,1.577856855,2.976750897,2.248200292,1.598455547,3.018670754,1.004932691,1.004100331,1.002576575
15,0.32836673,0.358756295,0.068362933,0.698495862,0.397031237,0.070061003,0.703492622,0.283335435,0.284375772,0.25362902,0.324818197,0.290014251,0.255964406,0.32826522,5.89165283,5.726447976,4.373692126,8.2647286,6.200557439,4.394256816,8.321532103,1.012200669,1.013179402,1.003708152
16,0.301729087,0.377562085,0.200417909,0.498696079,0.357348106,0.193929079,0.497427324,0.31899528,0.328103908,0.287656613,0.359305907,0.323089593,0.287153551,0.358972454,1.397101733,1.392665579,1.113091109,1.810680717,1.446529108,1.12406641,1.829894488,1.007649333,1.006320098,1.00270042
17,0.567974061,0.697237807,0.530703359,0.813988825,0.673515231,0.515546785,0.800555041,0.461649461,0.520263699,0.453460715,0.56627767,0.512827984,0.454170218,0.568018588,3.267594258,2.846793125,2.166760536,3.974388382,3.023847833,2.20601135,4.037972693,1.004581847,1.003986062,1.003811648
18,0.129793134,0.045305311,0.00049962,0.3086054,0.132155046,0.005983415,0.349173107,0.404949943,0.415980831,0.385602188,0.490450688,0.431548457,0.390067476,0.497845221,1.572167967,1.39586127,1.000253626,1.9128592,1.4361379,1.026645947,1.955437957,1.002233259,1.001459801,1.002965575
19,0.206117568,0.117452304,0.00020724,0.275128942,0.141467559,0.010477015,0.301759695,0.274175375,0.258620143,0.237824517,0.286566511,0.262725762,0.240205208,0.290961714,5.53084116,6.546685056,4.630611646,8.340569873,6.429455205,4.785073157,8.536219407,1.004021325,1.005198467,1.004801248
20,0.738836698,0.745415515,0.495465313,0.964877179,0.736778232,0.466631349,0.953222713,0.429767512,0.436314359,0.398410419,0.472561519,0.435870646,0.397655793,0.471946341,1.308755644,1.257478525,0.936737244,1.635087462,1.257653959,0.93768384,1.639168324,1.002936687,1.002790891,1.004552281
21,0.621110087,0.598093293,0.524428109,0.675522755,0.601777185,0.522165497,0.674450194,0.296989956,0.301263598,0.281412466,0.316106198,0.298641463,0.281225483,0.316093769,2.716156251,4.391893549,3.144594797,5.369523121,4.277281697,3.224424772,5.471001104,1.004554116,1.0025899,1.006052102
22,0.152823312,0.083618521,0.000172076,0.407445428,0.185656298,0.008152441,0.452040799,0.498048507,0.488223223,0.450130856,0.56326875,0.50212477,0.454345027,0.573188909,1.904354709,2.3984562,1.6222549,3.269310625,2.515052613,1.735336645,3.429299945,1.003674893,1.005773348,1.005253967
23,0.967746994,0.44560235,0.434925853,0.98833855,0.639236496,0.434925853,0.99439186,0.483944589,0.360826356,0.348634386,0.508697246,0.409201721,0.349192799,0.513150226,4.175649607,3.478546546,2.690294774,8.36194552,4.125220357,3.034418883,9.053603494,15.21292626,9.714559495,1.674779858
24,0.329443357,0.372113694,0.221808862,0.450032263,0.347033264,0.216448249,0.448487323,0.2806315,0.286950346,0.266136563,0.306775009,0.287198094,0.264669742,0.306181318,5.896221991,5.61907662,4.116816133,7.302299452,5.655399653,4.209998956,7.468028109,1.008612236,1.016927999,1.016054879
25,0.392969278,0.039366185,0.002697459,0.310837951,0.142595186,0.011813172,0.342733774,0.490709862,0.36134103,0.341008777,0.452390438,0.389846046,0.346165053,0.466314641,4.610566815,6.019376677,4.394812855,8.265266931,6.177473726,4.398100095,8.327739769,1.015219815,1.017328008,1.010856339
