w,p,LL_diff,LL_diff_log
0,0.2,1.424655085,0.153709732
0.01,0.2,0.689621273,-0.16138935
0.02,0.2,3.311710626,0.520052382
0.03,0.2,0,#NAME?
0.04,0.2,4.275046701,0.630940863
0.05,0.2,0.089138354,-1.04993539
0.06,0.2,5.919134281,0.772258192
0.07,0.2,12.65722278,1.102338424
0.08,0.2,7.447333108,0.87200078
0.09,0.2,0,#NAME?
0.1,0.2,15.22176399,1.182464984
0.11,0.2,4.3470229,0.638191928
0.12,0.2,28.98822347,1.462221601
0.13,0.2,8.947520098,0.951702683
0.14,0.2,52.65626739,1.72145007
0.15,0.2,12.07306783,1.081817641
0.16,0.2,11.68753795,1.067723034
0.17,0.2,56.92283021,1.755286485
0.18,0.2,29.42167468,1.468667389
0.19,0.2,56.28729692,1.750410393
0.2,0.2,83.40633291,1.921199027
0.21,0.2,148.0405027,2.170380551
0.22,0.2,16.99741501,1.230382878
0.23,0.2,105.7899072,2.024444236
0.24,0.2,99.59489352,1.998237072
0.25,0.2,240.1313095,2.380448789
0.26,0.2,138.1449932,2.140335149
0.27,0.2,396.769585,2.598538373
0.28,0.2,197.4898216,2.295544717
0.29,0.2,283.7174162,2.452885996
0.3,0.2,187.5608487,2.273142189
0.31,0.2,341.640356,2.533569166
0.32,0.2,197.0206368,2.294511718
0.33,0.2,263.0413534,2.42002403
0.34,0.2,1273.014373,3.104833307
0.35,0.2,616.5863272,2.78999389
0.36,0.2,569.3089762,2.755348031
0.37,0.2,190.5711034,2.280057048
0.38,0.2,1113.837432,3.046821809
0.39,0.2,1028.973634,3.012404247
0.4,0.2,320.4380827,2.505744124
0.41,0.2,1674.856165,3.223977516
0.42,0.2,501.4526811,2.700229958
0.43,0.2,1276.374169,3.105978007
0.44,0.2,1655.486694,3.218925695
0.45,0.2,3121.740223,3.49439676
0.46,0.2,6636.461578,3.821936584
0.47,0.2,3719.402946,3.570473231
0.48,0.2,5820.784302,3.764981506
0.49,0.2,10133.33714,4.005752492
0.5,0.2,3806.895406,3.580570945
0.51,0.2,8765.470033,3.942775209
0.52,0.2,1547.107888,3.1895206
0.53,0.2,1381.591997,3.140379809
0.54,0.2,2033.732907,3.308293916
0.55,0.2,4479.396103,3.651219468
0.56,0.2,2673.455138,3.427072901
0.57,0.2,2659.047931,3.424726166
0.58,0.2,11367.65684,4.055670955
0.59,0.2,3534.435129,3.548320015
0.6,0.2,1453.514501,3.162419369
0.61,0.2,7126.483341,3.852875274
0.62,0.2,4140.344848,3.617036515
0.63,0.2,9788.431829,3.990713121
0.64,0.2,9273.467394,3.967242149
